#Release 14.7 - par P.20160913 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Oct 17 17:49:06 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       data_ports_map.ncd
#OUTPUT FILE:      data_ports_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
E24,,IOBS,IO_L8N_M5A2_5,UNUSED,,5,,,,,,,,,
E25,,IOBM,IO_L16P_M5DQ4_5,UNUSED,,5,,,,,,,,,
E26,,IOBS,IO_L16N_M5DQ5_5,UNUSED,,5,,,,,,,,,
F1,,IOBS,IO_L66N_M4LDQSN_4,UNUSED,,4,,,,,,,,,
F2,,,GND,,,,,,,,,,,,
F3,,IOBM,IO_L66P_M4LDQS_4,UNUSED,,4,,,,,,,,,
F4,,,VCCO_4,,,4,,,,,any******,,,,
F5,TRIGGER_OUTPUT<9>,IOB,IO_L5N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F6,TRIGGER_OUTPUT<5>,IOB,IO_L3N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F7,TRIGGER_OUTPUT<8>,IOB,IO_L3P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F8,,,VCCO_0,,,0,,,,,2.50,,,,
F9,TRIGGER_OUTPUT<16>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F10,TRIGGER_OUTPUT<24>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F11,TRIGGER_OUTPUT<29>,IOB,IO_L30N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F12,TRIGGER_OUTPUT<30>,IOB,IO_L31P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F13,,,VCCO_0,,,0,,,,,2.50,,,,
F14,TRIGGER_OUTPUT<48>,IOB,IO_L40P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F15,TRIGGER_OUTPUT<59>,IOB,IO_L50N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F16,TRIGGER_OUTPUT<56>,IOB,IO_L49P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F17,TRIGGER_OUTPUT<63>,IOB,IO_L56N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F18,TRIGGER_OUTPUT<60>,IOB,IO_L51P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F19,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
F20,,IOBM,IO_L57P_0,UNUSED,,0,,,,,,,,,
F21,,,TMS,,,,,,,,,,,,
F22,,IOBM,IO_L6P_M5A10_5,UNUSED,,5,,,,,,,,,
F23,,IOBM,IO_L14P_M5RASN_5,UNUSED,,5,,,,,,,,,
F24,,IOBM,IO_L18P_M5LDQS_5,UNUSED,,5,,,,,,,,,
F25,,,GND,,,,,,,,,,,,
F26,,IOBS,IO_L18N_M5LDQSN_5,UNUSED,,5,,,,,,,,,
G1,,IOBS,IO_L65N_M4DQ3_4,UNUSED,,4,,,,,,,,,
G2,,IOBM,IO_L65P_M4DQ2_4,UNUSED,,4,,,,,,,,,
G3,,IOBS,IO_L77N_M4BA2_4,UNUSED,,4,,,,,,,,,
G4,,IOBM,IO_L77P_M4WE_4,UNUSED,,4,,,,,,,,,
G5,,,VCCAUX,,,,,,,,2.5,,,,
G6,TRIGGER_OUTPUT<4>,IOB,IO_L5P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,TRIGGER_OUTPUT<1>,IOB,IO_L1N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G8,TRIGGER_OUTPUT<3>,IOB,IO_L2N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G9,TRIGGER_OUTPUT<13>,IOB,IO_L13N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G10,TRIGGER_OUTPUT<21>,IOB,IO_L21N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G11,TRIGGER_OUTPUT<33>,IOB,IO_L32N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G12,TRIGGER_OUTPUT<28>,IOB,IO_L30P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G13,TRIGGER_OUTPUT<35>,IOB,IO_L33N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G14,,,GND,,,,,,,,,,,,
G15,TRIGGER_OUTPUT<58>,IOB,IO_L50P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G16,TRIGGER_OUTPUT<62>,IOB,IO_L56P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
G17,,IOBS,IO_L58N_0,UNUSED,,0,,,,,,,,,
G18,,,VCCO_0,,,0,,,,,2.50,,,,
G19,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
G20,,IOBS,IO_L1N_A24_VREF_5,UNUSED,,5,,,,,,,,,
G21,,,TDO,,,,,,,,,,,,
G22,,,VCCO_5,,,5,,,,,any******,,,,
G23,,IOBS,IO_L6N_M5A4_5,UNUSED,,5,,,,,,,,,
G24,,IOBS,IO_L14N_M5CASN_5,UNUSED,,5,,,,,,,,,
G25,,IOBM,IO_L20P_M5DQ0_5,UNUSED,,5,,,,,,,,,
G26,,IOBS,IO_L20N_M5DQ1_5,UNUSED,,5,,,,,,,,,
H1,,IOBS,IO_L64N_M4DQ1_4,UNUSED,,4,,,,,,,,,
H2,,,VCCO_4,,,4,,,,,any******,,,,
H3,,IOBM,IO_L64P_M4DQ0_4,UNUSED,,4,,,,,,,,,
H4,,,GND,,,,,,,,,,,,
H5,,IOBS,IO_L83N_VREF_4,UNUSED,,4,,,,,,,,,
H6,,IOBM,IO_L83P_4,UNUSED,,4,,,,,,,,,
H7,TRIGGER_OUTPUT<0>,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
H8,TRIGGER_OUTPUT<2>,IOB,IO_L2P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
H9,TRIGGER_OUTPUT<12>,IOB,IO_L13P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
H10,TRIGGER_OUTPUT<20>,IOB,IO_L21P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
H11,,,VCCO_0,,,0,,,,,2.50,,,,
H12,TRIGGER_OUTPUT<34>,IOB,IO_L33P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
H13,TRIGGER_OUTPUT<47>,IOB,IO_L39N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
H14,TRIGGER_OUTPUT<51>,IOB,IO_L41N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,TRIGGER_OUTPUT<53>,IOB,IO_L43N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
H16,,,VCCO_0,,,0,,,,,2.50,,,,
H17,,IOBM,IO_L58P_0,UNUSED,,0,,,,,,,,,
H18,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
H19,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
H20,,IOBM,IO_L1P_A25_5,UNUSED,,5,,,,,,,,,
H21,,IOBM,IO_L5P_M5A8_5,UNUSED,,5,,,,,,,,,
H22,,IOBS,IO_L5N_M5A9_5,UNUSED,,5,,,,,,,,,
H23,,,GND,,,,,,,,,,,,
H24,,IOBM,IO_L19P_M5DQ2_5,UNUSED,,5,,,,,,,,,
H25,,,VCCO_5,,,5,,,,,any******,,,,
H26,,IOBS,IO_L19N_M5DQ3_5,UNUSED,,5,,,,,,,,,
J1,,IOBS,IO_L63N_M4DQ9_4,UNUSED,,4,,,,,,,,,
J2,,IOBM,IO_L63P_M4DQ8_4,UNUSED,,4,,,,,,,,,
J3,,IOBS,IO_L69N_M4LDM_4,UNUSED,,4,,,,,,,,,
J4,,IOBM,IO_L69P_M4UDM_4,UNUSED,,4,,,,,,,,,
J5,,IOBS,IO_L73N_M4CLKN_4,UNUSED,,4,,,,,,,,,
J6,,,VCCO_4,,,4,,,,,any******,,,,
J7,,IOBS,IO_L78N_M4A4_4,UNUSED,,4,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,IOBM,IO_L78P_M4A10_4,UNUSED,,4,,,,,,,,,
J10,,,VCCAUX,,,,,,,,2.5,,,,
J11,TRIGGER_OUTPUT<32>,IOB,IO_L32P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
J12,TRIGGER_OUTPUT<45>,IOB,IO_L38N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
J13,TRIGGER_OUTPUT<46>,IOB,IO_L39P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
J14,,,VCCO_0,,,0,,,,,2.50,,,,
J15,TRIGGER_OUTPUT<52>,IOB,IO_L43P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
J16,TRIGGER_OUTPUT<54>,IOB,IO_L48P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
J17,TRIGGER_OUTPUT<55>,IOB,IO_L48N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
J18,,,VCCAUX,,,,,,,,2.5,,,,
J19,,,GND,,,,,,,,,,,,
J20,,IOBM,IO_L7P_M5WE_5,UNUSED,,5,,,,,,,,,
J21,,,VCCO_5,,,5,,,,,any******,,,,
J22,,IOBS,IO_L7N_M5BA2_5,UNUSED,,5,,,,,,,,,
J23,,IOBM,IO_L15P_M5UDM_5,UNUSED,,5,,,,,,,,,
J24,,IOBS,IO_L15N_M5LDM_5,UNUSED,,5,,,,,,,,,
J25,,IOBM,IO_L22P_M5DQ10_5,UNUSED,,5,,,,,,,,,
J26,,IOBS,IO_L22N_M5DQ11_5,UNUSED,,5,,,,,,,,,
K1,,IOBS,IO_L62N_M4DQ11_4,UNUSED,,4,,,,,,,,,
K2,,,GND,,,,,,,,,,,,
K3,,IOBM,IO_L62P_M4DQ10_4,UNUSED,,4,,,,,,,,,
K4,,,VCCO_4,,,4,,,,,any******,,,,
K5,,IOBM,IO_L73P_M4CLK_4,UNUSED,,4,,,,,,,,,
K6,,IOBS,IO_L82N_M4A14_4,UNUSED,,4,,,,,,,,,
K7,,IOBM,IO_L82P_M4A13_4,UNUSED,,4,,,,,,,,,
K8,,IOBS,IO_L80N_M4A12_4,UNUSED,,4,,,,,,,,,
K9,,IOBM,IO_L80P_M4CKE_4,UNUSED,,4,,,,,,,,,
K10,,IOBS,IO_L76N_M4A2_4,UNUSED,,4,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,TRIGGER_OUTPUT<44>,IOB,IO_L38P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
K13,,,VCCAUX,,,,,,,,2.5,,,,
K14,TRIGGER_OUTPUT<50>,IOB,IO_L41P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,,,GND,,,,,,,,,,,,
K17,,,VCCINT,,,,,,,,1.2,,,,
K18,,IOBM,IO_L3P_M5RESET_5,UNUSED,,5,,,,,,,,,
K19,,IOBS,IO_L3N_M5A11_5,UNUSED,,5,,,,,,,,,
K20,,IOBS,IO_L9N_M5BA1_5,UNUSED,,5,,,,,,,,,
K21,,IOBM,IO_L12P_M5A3_5,UNUSED,,5,,,,,,,,,
K22,,IOBS,IO_L12N_M5ODT_5,UNUSED,,5,,,,,,,,,
K23,,,VCCO_5,,,5,,,,,any******,,,,
K24,,IOBM,IO_L21P_M5DQ8_5,UNUSED,,5,,,,,,,,,
K25,,,GND,,,,,,,,,,,,
K26,,IOBS,IO_L21N_M5DQ9_5,UNUSED,,5,,,,,,,,,
L1,,IOBS,IO_L61N_M4UDQSN_4,UNUSED,,4,,,,,,,,,
L2,,IOBM,IO_L61P_M4UDQS_4,UNUSED,,4,,,,,,,,,
L3,,IOBS,IO_L71N_M4A6_4,UNUSED,,4,,,,,,,,,
L4,,IOBM,IO_L71P_M4A5_4,UNUSED,,4,,,,,,,,,
L5,,,VCCAUX,,,,,,,,2.5,,,,
L6,,IOBS,IO_L74N_M4A1_4,UNUSED,,4,,,,,,,,,
L7,,IOBM,IO_L74P_M4A0_4,UNUSED,,4,,,,,,,,,
L8,,IOBS,IO_L70N_M4CASN_4,UNUSED,,4,,,,,,,,,
L9,,IOBM,IO_L70P_M4RASN_4,UNUSED,,4,,,,,,,,,
L10,,IOBM,IO_L76P_M4A7_4,UNUSED,,4,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,,GND,,,,,,,,,,,,
L16,,,VCCINT,,,,,,,,1.2,,,,
L17,,,GND,,,,,,,,,,,,
L18,,,VCCAUX,,,,,,,,2.5,,,,
L19,,IOBM,IO_L9P_M5BA0_5,UNUSED,,5,,,,,,,,,
L20,,IOBM,IO_L27P_5,UNUSED,,5,,,,,,,,,
L21,,IOBS,IO_L27N_5,UNUSED,,5,,,,,,,,,
L22,,,VCCAUX,,,,,,,,2.5,,,,
L23,,IOBM,IO_L29P_A23_M1A13_1,UNUSED,,1,,,,,,,,,
L24,,IOBS,IO_L29N_A22_M1A14_1,UNUSED,,1,,,,,,,,,
L25,,IOBM,IO_L24P_M5DQ12_5,UNUSED,,5,,,,,,,,,
L26,,IOBS,IO_L24N_M5DQ13_5,UNUSED,,5,,,,,,,,,
M1,,IOBS,IO_L60N_M4DQ13_4,UNUSED,,4,,,,,,,,,
M2,,,VCCO_4,,,4,,,,,any******,,,,
M3,,IOBM,IO_L60P_M4DQ12_4,UNUSED,,4,,,,,,,,,
M4,,IOBM,IO_L58P_4,UNUSED,,4,,,,,,,,,
M5,,,GND,,,,,,,,,,,,
M6,,IOBS,IO_L72N_M4ODT_4,UNUSED,,4,,,,,,,,,
M7,,,VCCO_4,,,4,,,,,any******,,,,
M8,,IOBM,IO_L72P_M4A3_4,UNUSED,,4,,,,,,,,,
M9,DATA_INPUT<53>,IOB,IO_L57N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M10,RST,IOB,IO_L57P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,VCCINT,,,,,,,,1.2,,,,
M15,,,VCCINT,,,,,,,,1.2,,,,
M16,,,VCCINT,,,,,,,,1.2,,,,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,,IOBM,IO_L13P_M5A5_5,UNUSED,,5,,,,,,,,,
M19,,IOBS,IO_L13N_M5A6_5,UNUSED,,5,,,,,,,,,
M20,,,VCCO_5,,,5,,,,,any******,,,,
M21,,IOBM,IO_L26P_5,UNUSED,,5,,,,,,,,,
M22,,,GND,,,,,,,,,,,,
M23,,IOBS,IO_L26N_VREF_5,UNUSED,,5,,,,,,,,,
M24,,IOBM,IO_L23P_M5UDQS_5,UNUSED,,5,,,,,,,,,
M25,,,VCCO_5,,,5,,,,,any******,,,,
M26,,IOBS,IO_L23N_M5UDQSN_5,UNUSED,,5,,,,,,,,,
N1,,IOBS,IO_L59N_M4DQ15_4,UNUSED,,4,,,,,,,,,
N2,,IOBM,IO_L59P_M4DQ14_4,UNUSED,,4,,,,,,,,,
N3,,IOBS,IO_L58N_VREF_4,UNUSED,,4,,,,,,,,,
N4,DATA_INPUT<63>,IOB,IO_L54N_M3A11_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,DATA_INPUT<59>,IOB,IO_L54P_M3RESET_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N6,DATA_INPUT<51>,IOB,IO_L49P_M3A7_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N7,DATA_INPUT<56>,IOB,IO_L51N_M3A4_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N8,DATA_INPUT<58>,IOB,IO_L51P_M3A10_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N9,data_addr_out<1>,IOB,IO_L55N_M3A14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N10,,,VCCAUX,,,,,,,,2.5,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,GND,,,,,,,,,,,,
N15,,,VCCINT,,,,,,,,1.2,,,,
N16,,,VCCINT,,,,,,,,1.2,,,,
N17,,IOBM,IO_L28P_1,UNUSED,,1,,,,,,,,,
N18,,IOBS,IO_L28N_VREF_1,UNUSED,,1,,,,,,,,,
N19,,IOBM,IO_L30P_A21_M1RESET_1,UNUSED,,1,,,,,,,,,
N20,,IOBS,IO_L30N_A20_M1A11_1,UNUSED,,1,,,,,,,,,
N21,,IOBM,IO_L31P_A19_M1CKE_1,UNUSED,,1,,,,,,,,,
N22,,IOBS,IO_L31N_A18_M1A12_1,UNUSED,,1,,,,,,,,,
N23,,IOBM,IO_L33P_A15_M1A10_1,UNUSED,,1,,,,,,,,,
N24,,IOBS,IO_L33N_A14_M1A4_1,UNUSED,,1,,,,,,,,,
N25,,IOBM,IO_L25P_M5DQ14_5,UNUSED,,5,,,,,,,,,
N26,,IOBS,IO_L25N_M5DQ15_5,UNUSED,,5,,,,,,,,,
P1,DATA_INPUT<50>,IOB,IO_L48N_M3BA1_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P2,,,GND,,,,,,,,,,,,
P3,DATA_INPUT<49>,IOB,IO_L48P_M3BA0_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
P5,DATA_INPUT<60>,IOB,IO_L50P_M3WE_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P6,DATA_INPUT<52>,IOB,IO_L49N_M3A2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P7,,,GND,,,,,,,,,,,,
P8,DATA_INPUT<62>,IOB,IO_L53N_M3A12_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P9,,,VCCO_3,,,3,,,,,2.50,,,,
P10,data_addr_out<0>,IOB,IO_L55P_M3A13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,VCCINT,,,,,,,,1.2,,,,
P13,,,GND,,,,,,,,,,,,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,,,VCCINT,,,,,,,,1.2,,,,
P16,,,GND,,,,,,,,,,,,
P17,,IOBM,IO_L32P_A17_M1A8_1,UNUSED,,1,,,,,,,,,
P18,,,VCCO_1,,,1,,,,,any******,,,,
P19,,IOBS,IO_L32N_A16_M1A9_1,UNUSED,,1,,,,,,,,,
P20,,,GND,,,,,,,,,,,,
P21,,IOBM,IO_L35P_A11_M1A7_1,UNUSED,,1,,,,,,,,,
P22,,IOBS,IO_L35N_A10_M1A2_1,UNUSED,,1,,,,,,,,,
P23,,,VCCO_1,,,1,,,,,any******,,,,
P24,,IOBM,IO_L37P_A7_M1A0_1,UNUSED,,1,,,,,,,,,
P25,,,GND,,,,,,,,,,,,
P26,,IOBS,IO_L37N_A6_M1A1_1,UNUSED,,1,,,,,,,,,
R1,DATA_INPUT<43>,IOB,IO_L44N_GCLK20_M3A6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R2,DATA_INPUT<41>,IOB,IO_L44P_GCLK21_M3A5_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R3,DATA_INPUT<55>,IOB,IO_L52N_M3A9_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R4,DATA_INPUT<57>,IOB,IO_L52P_M3A8_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R5,DATA_INPUT<54>,IOB,IO_L50N_M3BA2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R6,DATA_INPUT<47>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R7,DATA_INPUT<39>,IOB,IO_L43P_GCLK23_M3RASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R8,DATA_INPUT<48>,IOB,IO_L45P_M3A3_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R9,DATA_INPUT<61>,IOB,IO_L53P_M3CKE_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R10,DATA_INPUT<44>,IOB,IO_L47P_M3A0_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R11,,,VCCINT,,,,,,,,1.2,,,,
R12,,,VCCINT,,,,,,,,1.2,,,,
R13,,,VCCINT,,,,,,,,1.2,,,,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,,,VCCINT,,,,,,,,1.2,,,,
R16,,,VCCINT,,,,,,,,1.2,,,,
R17,,,VCCINT,,,,,,,,1.2,,,,
R18,,IOBM,IO_L34P_A13_M1WE_1,UNUSED,,1,,,,,,,,,
R19,,IOBS,IO_L34N_A12_M1BA2_1,UNUSED,,1,,,,,,,,,
R20,,IOBM,IO_L36P_A9_M1BA0_1,UNUSED,,1,,,,,,,,,
R21,,IOBS,IO_L36N_A8_M1BA1_1,UNUSED,,1,,,,,,,,,
R22,,,VCCAUX,,,,,,,,2.5,,,,
R23,,IOBM,IO_L38P_A5_M1CLK_1,UNUSED,,1,,,,,,,,,
R24,,IOBS,IO_L38N_A4_M1CLKN_1,UNUSED,,1,,,,,,,,,
R25,,IOBM,IO_L41P_GCLK9_IRDY1_M1RASN_1,UNUSED,,1,,,,,,,,,
R26,,IOBS,IO_L41N_GCLK8_M1CASN_1,UNUSED,,1,,,,,,,,,
T1,DATA_INPUT<37>,IOB,IO_L41N_GCLK26_M3DQ5_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T2,,,VCCO_3,,,3,,,,,2.50,,,,
T3,DATA_INPUT<36>,IOB,IO_L41P_GCLK27_M3DQ4_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T4,DATA_INPUT<42>,IOB,IO_L46N_M3CLKN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T5,,,GND,,,,,,,,,,,,
T6,DATA_INPUT<18>,IOB,IO_L31N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T7,,,VCCO_3,,,3,,,,,2.50,,,,
T8,DATA_INPUT<30>,IOB,IO_L45N_M3ODT_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T9,DATA_INPUT<40>,IOB,IO_L47N_M3A1_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T10,,,GND,,,,,,,,,,,,
T11,,,VCCINT,,,,,,,,1.2,,,,
T12,,,GND,,,,,,,,,,,,
T13,,,VCCINT,,,,,,,,1.2,,,,
T14,,,GND,,,,,,,,,,,,
T15,,,VCCINT,,,,,,,,1.2,,,,
T16,,,GND,,,,,,,,,,,,
T17,,,VCCINT,,,,,,,,1.2,,,,
T18,,,GND,,,,,,,,,,,,
T19,,IOBM,IO_L66P_1,UNUSED,,1,,,,,,,,,
T20,,IOBS,IO_L66N_1,UNUSED,,1,,,,,,,,,
T21,,,GND,,,,,,,,,,,,
T22,,IOBM,IO_L39P_M1A3_1,UNUSED,,1,,,,,,,,,
T23,,IOBS,IO_L39N_M1ODT_1,UNUSED,,1,,,,,,,,,
T24,,IOBM,IO_L44P_A3_M1DQ6_1,UNUSED,,1,,,,,,,,,
T25,,,VCCO_1,,,1,,,,,any******,,,,
T26,,IOBS,IO_L44N_A2_M1DQ7_1,UNUSED,,1,,,,,,,,,
U1,DATA_INPUT<35>,IOB,IO_L40N_M3DQ7_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U2,DATA_INPUT<46>,IOB,IO_L40P_M3DQ6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U3,DATA_INPUT<11>,IOB,IO_L10N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U4,DATA_INPUT<10>,IOB,IO_L10P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U5,DATA_INPUT<45>,IOB,IO_L46P_M3CLK_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U6,,,VCCAUX,,,,,,,,2.5,,,,
U7,DATA_INPUT<16>,IOB,IO_L31P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U8,DATA_INPUT<15>,IOB,IO_L18N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U9,DATA_INPUT<14>,IOB,IO_L18P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U10,,,VCCINT,,,,,,,,1.2,,,,
U11,,,GND,,,,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,DATA_OUTPUT<16>,IOB,IO_L27P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U14,,,VCCAUX,,,,,,,,2.5,,,,
U15,DATA_OUTPUT<4>,IOB,IO_L17P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U16,,,VCCINT,,,,,,,,1.2,,,,
